Variable,UNIT,COU,Country,Year,Value
C01A-Cardiac glycosides,NBPYEANB,EST,Estonia,2019,2.5
C01A-Cardiac glycosides,NBPYEANB,EST,Estonia,2020,2.0
C01A-Cardiac glycosides,NBPYEANB,EST,Estonia,2021,2.0
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2012,0.5
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2014,0.5
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2015,0.5
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2016,0.4
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2017,0.4
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2018,0.4
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2019,0.3
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2020,0.3
C01A-Cardiac glycosides,NBPYEANB,ISR,Israel,2021,0.3
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2010,3.1
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2011,2.9
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2012,2.7
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2013,2.6
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2014,2.4
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2015,2.3
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2016,2.1
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2017,2.0
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2018,1.9
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2019,1.6
C01A-Cardiac glycosides,NBPYEANB,SVN,Slovenia,2020,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2010,1.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2011,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2012,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2013,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2014,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2015,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2016,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2017,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2018,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2019,2.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUS,Australia,2020,2.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2010,2.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2011,2.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2012,2.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2013,2.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2014,2.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2015,2.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2016,2.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2017,2.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2018,2.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2019,2.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,AUT,Austria,2020,2.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2010,8.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2011,8.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2012,8.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2013,8.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2014,8.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2015,8.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2016,8.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2017,8.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2018,8.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2019,7.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,BEL,Belgium,2020,7.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2010,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2011,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2012,1.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2013,1.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2014,1.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2015,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2016,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2017,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2018,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2019,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2020,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CAN,Canada,2021,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2010,7.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2011,7.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2012,7.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2013,7.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2014,8.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2015,8.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2016,8.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2017,8.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2018,8.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2019,8.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CZE,Czech Republic,2020,8.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2010,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2011,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2012,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2013,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2014,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2015,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2016,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2017,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2018,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2019,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2020,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DNK,Denmark,2021,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2010,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2011,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2012,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2013,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2014,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2015,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2016,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2017,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2018,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2019,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FIN,Finland,2020,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2010,10.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2011,10.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2012,10.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2013,9.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2014,9.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2015,9.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2016,9.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2017,9.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2018,8.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2019,8.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,FRA,France,2020,8.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2010,2.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2011,3.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2012,3.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2013,3.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2014,3.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2015,3.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2016,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2017,2.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2018,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2019,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,DEU,Germany,2020,2.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2013,6.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2014,6.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2015,6.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2017,7.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2018,7.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2019,7.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2020,7.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GRC,Greece,2021,7.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2010,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2011,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2012,6.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2013,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2014,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2015,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2016,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2017,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2018,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2019,6.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2020,6.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,HUN,Hungary,2021,6.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2010,3.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2011,3.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2012,3.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2013,4.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2014,3.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2015,4.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2016,4.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2017,4.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2018,4.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2019,4.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2020,4.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISL,Iceland,2021,4.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2011,8.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2012,8.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2013,8.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2014,8.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2015,8.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2016,7.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2017,7.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2018,7.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2019,7.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2020,7.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ITA,Italy,2021,7.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2010,0.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2011,0.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2012,0.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2013,0.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2014,1.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2015,1.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2016,1.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2017,1.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2018,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2019,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,KOR,Korea,2020,1.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2010,7.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2011,7.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2012,7.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2013,7.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2014,7.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2015,7.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2016,6.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2017,6.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2018,6.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2019,6.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2020,6.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,LUX,Luxembourg,2021,6.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2010,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2011,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2012,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2013,2.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2014,2.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2015,2.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2016,2.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2017,2.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2018,2.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2019,2.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NLD,Netherlands,2020,2.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NZL,New Zealand,2014,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2010,1.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2011,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2012,2.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2013,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2014,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2015,2.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2016,2.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2017,2.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2018,2.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2019,2.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2020,2.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,NOR,Norway,2021,2.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2010,6.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2011,6.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2012,6.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2013,6.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2014,5.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2015,5.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2016,5.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2017,5.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2018,5.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2019,4.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2020,4.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,PRT,Portugal,2021,4.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2010,7.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2011,8.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2012,8.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2013,9.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2014,10.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2015,10.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2016,10.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2017,10.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2018,10.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2019,11.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVK,Slovak Republic,2020,12.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2010,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2011,3.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2012,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2013,2.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2014,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2015,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2016,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2017,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2018,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2019,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2020,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ESP,Spain,2021,3.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2010,1.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2011,1.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2012,1.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2013,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2014,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2015,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2016,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2017,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2018,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2019,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2020,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SWE,Sweden,2021,1.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2010,0.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2011,0.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2012,0.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2013,0.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2014,0.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2015,0.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2016,1.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2017,1.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2018,1.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2019,1.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,TUR,Türkiye,2020,1.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2010,1.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2011,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2012,1.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2013,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2014,1.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2015,1.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2016,1.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,GBR,United Kingdom,2017,1.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2011,1.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2012,1.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2013,2.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2014,2.1
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2015,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2016,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2017,1.6
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2018,1.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2019,1.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2020,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,CHL,Chile,2021,1.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2010,5.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2011,5.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2012,6.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2013,6.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2014,6.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2015,7.2
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2016,6.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2017,6.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2018,6.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2019,5.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2020,5.3
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,EST,Estonia,2021,5.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2012,3.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2014,4.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2015,3.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2016,4.0
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2017,3.9
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2018,3.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2019,3.8
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2020,3.7
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,ISR,Israel,2021,3.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVN,Slovenia,2010,4.4
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVN,Slovenia,2011,4.5
"C01B-Antiarrhythmics, Class I and III",NBPYEANB,SVN,Slovenia,2012,4.5
